,id,file,year,newspaper,city,TAG,text
3693,71701,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_321__page_12.json,1881,Papel Periodico ilustrado,Cali,POSITIVO,"el orinocolos guaraunos.  uando uno se fija en los numerosos canales en que se divide el rio orinoco al desembocar en el atlantico en la gran cantidad de agua que estos llevan y en la extension de tierra que esta comprendida entre ellos, se encuentra a la verdad sorprendido.  con razon se maravillo colon, cuando descubrio las bocas del orinoco, de que hubiese un rio de tan soberbio caudal.  juzgo que tanta cantidad de agua dulce no podia nacer ni recogersesino de muy vastas y dilatadas comarcas y de muy remotas provincias.  asi nos lo refiere el historiador herrera colon, dice, atraveso el golfotriste, desemboco por los dragos y paso por la isla margarita, teniendo a la vista las bocas del orinoco dejo al golfo el nombre de triste, porque una vez en su centro apenas ofrece resquicio para salir y a la unica y estrecha salida que tiene llamo boca de los dragos 6 dragones por el mal paso que le procuro.  en 1535 diego de ordaz fue el primer espanol que se propuso remontar las bocas de este rio, mas no pudo hacerlo por la perdida de su gente y de sus embarcaciones."
3694,18521,/content/drive/MyDrive/19th_century_Latam_Newspapers/PF730_Mefistofeles_results/PF730_Mefistofeles__20230917_104822__page_0.json,1897,PF730_Mefistofeles,Bogotá,NEGATIVO,"¡santa barbara bendine te implorumos de rodillas cuando no hay buenos cigan pelota de goma que, en manos de los tres anos sego vidas y troncho intelimenso cebadal pletorico de granos.  son muy buenas las colille.  pasenla por in pequenos, gesticula y salta provocando gencias a modo de espigas en un injas risas y los dicharachos calamburesy ¡habremos de callar o, cuando muel general putomejico se levan es el miercoles siete cos de aquellos que aun tienen alientos aire caliente y le dio un abrazo a su para divertirse y reir ante las contor cho, reir ante la borrasca, ante la temchor de thoy, quien tan inesperada s, consules, ge las 84 p.  m.  el teatr siones de los clowns que, sobre el velum  pestad, ante la avalancha de tinieblas habia presentado a darle lo que habe ministros, por nuestra parte, protestamos de jado porque so ie quitara en el 97.  empapado en sangre de este sombrio que prepara el negro vuelo? n6! empigorotado de nuestr circo de la republica, ensayan la ina judas, porque en sus adentros se vitacion del simpatico las imposiciones protestamos de las general invencible  la concurrencia nera de, burlando al pueblo, subir hasta 9  las 10 las 11 casi."
3695,28771,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD413_El taller_results/PD413_El taller__ps19_eltaller_jun_1889__page_7.json,1888,El taller,Bogotá,POSITIVO,"el taller.  ministerio de fomento  abril 26 de 1889 informe  dansele las gracias al sr.  cantini por los servicios que la prestado al gobierno, en el ramo de obras publicas, y manifi6tesele que he agradecen y aceptan las indicaciones que hace, y que para que, durante su ausencia, ellas tengan su puntual cumplimiento, se exigira al ayudante, sr eugenio lopez, que concurra diaria y constantemente al teatro con el fin de que vigile y haga ejecutar debi damente todas las obras que quedan bajo su direccion y cuidado.  comuniquese  quienes corresponda.  el ministro ,.  l.  canal.  republica de colombia ministeria de fomentoseccion .  de obras publicasnumero 101 bogota,26 de abril de 1889 senor pedro cantini, director del teatro nacional.  muy satisfactorio ha sido para este depacho, el contenido del informe que oon fecha 24 del que cursa, se ha servido usted darme awerea de los trabajos que deben ejecutarse en el teatro nacional, durante los seis meses que usted va a permanecer fuera del pufs."
3696,108000,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD747_Colombia ilustrada_results/PD747_Colombia ilustrada__2__page_5.json,1889,Colombia ilustrada,Bogotá,POSITIVO,"tivo y poco confortable edificio.  tambien le oi contar el gusto que recibia al visitar algunas poblaciones poco o nada frecuentadas, y en las que por estar lejanas de otras mayores se conservaba pura la fe e intactas las primitivas ejemplares costumbres, que temia el fueran a perderse cuando los habitantes de aquellos repuestos lugares fueran a otros mas civilizados.  el senor paul visito todas las poblaciones del istmo, lo que creo han hecho pocos por las dificultades que presenta la traslacion a ellas  y en todas dicto beneficas providencias y dejo grato recuerdo de su nombre.  cuanto estuvo en su poder, cuanto le sugirio su corazon abierto a toda caridad, cuanto le inspiro su inteligencia disciplinada para el bien, lo intento el senor paul durante los ocho anos que ocupo la silla episcopal de aquella diocesis, por el adelanto moral, el bienestar y salvacion de su amada grey, tan fiel y constantemente amada, que cuando ocupo la silla arzobispal siguio siendo obispo de panama en cuanto al afecto que siguio profesando a sus antiguos diocesanos y apego a los lugares que habito mientras vivio entre ellos."
3697,4692,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD751_El zancudo_results/PD751_El zancudo__12__page_6.json,1890,El zancudo,Santafé de Bogotá,NEGATIVO,"tuvo la fortuna de velar sus ultimos momentos y de guardar los despojos del grande hombre ! en las actuales luctuosas circunstancias, aqui solo podemos llorar tamana desgracia  seanos permitido siquiera manifestar el duelo de nuestros corazones ante el sepulcro que acaba de abrirse para recibir a cesar conto  que podamos decir  la juventud ahi teneis un ejemplo , y la posteridad  alla va un digno huesped ! despedida de inglaterra  ultima poesia de conto  1887.  a la orilla del tamesis un dia me puse  meditar  la tarde estaba nebulosa, fria, y el firmamento cardeno cubria, como un patio mortuorio, la ciudad.  ¡ oh, que clima 1  y esta es la primavera, la risnens estacion que tanto en esta zoua se pondera, y dicen que engalana la pradera y los campos de flores y verdor ? si debe ser, puesto que ol mes de mayo esta avanzado ya  empero el sol, en languido desmayo, lanza de vez en cuando un tenue rayo o brilla por su ausencia, nada mas.   oh que clima, que clima, dios eterno  farsa el otono es, farsa la primavera, y del infierno farsa el verano  solo el triste invierno es verdad con su hielo y lobreguez."
3698,85607,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD810_El diario de Cundinamarca_results/PD810_El diario de Cundinamarca__Julio 1893__page_26.json,1869,El diario de Cundinamarca,Bogotá,NEGATIVO,"facultades extraordinarias.  el actor prema, el correo nacional, sus congene no dudo du que usted se le hubiera plantado su tienda on el campo donde au.  vicepresidente en an alocucion del 20 de rca se manifestaron anny complacidos, poracercado en aquella epoca algunos liberales palabra es recibida con alegres dianna y julio, para ponderarnos la bondad de ellas, que aal crelan demostrar que la regeneracidu de la capital, para expresarle con relacion convertida al punto en ruidois cuento nos dice que usandolas decreto los destierros os toleralite on politica y de participacion al asunto cerruti conceptos parecidos a los inofensivos proyectiles coutre nosotros y de enero, y que, en virtud de ins inisinas, en los puestos publicos a los liberalen.  aqui de que acabo de hablar y posible worla contra nuestros principios.  nadie quiere pado decretar indultos para los desterrados, outre nos les dire, aunque codos to sabemos, tambien que alguno do waos individnos hu imponerle a ustel silencio . , ni trovarle, calo que no hubiera podido lincer si ealos hu que el doctor galindo no habria sido bruto bieao llegado hasta reconvenir con seritud a mino , mas convenga usted, 4 eu turno, en bieran sido juzgados por tribunales ordian en tempo de cesar, ui habrin ido al circo usted, porquo juzgare el talerradamente  que nosotros tenemos cabal derecho para rioe, de manera que toda frenltad concedi en lictipo de dibelecinto no obstante su que usted le servi no n in nacion contra calificar lo que dated quiure, hador, y para da a un gobierno para abnaar, os buena por lalento, que tambieu, le reconocemos todos, un extranjero, sino a los regeneradores con reff larnos los unos a los otros, como eenda chacto permite al inisino tratar de, corregir le faliau dos cops caracter y facto politico."
3699,81435,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD806_El centenario_results/PD806_El centenario__Grabados de portada__page_24.json,1898,El centenario,Rionegro,NEUTRO,"lobeacion del primer centenario del mas mimado esta delicada tarjeta, de buen recibo entre jovenes , decentes y.  cultos para quien fue su maestro de escuela en 1870, y a esta hora en que el debate ha terminado, es nada menos que una voz mas de aplauso a rionegro por su triunfo.  segun el diccionario espanol, conterraneo es el natural de la misma tierra que otro.  paisono el que es de un mismo pais, provincia y lugar.  confesion de parte, relevo de toda prueba, dice la ley .  en la otra tarjeta me viene escrita y copiada la diligencia de bautizo de cordoba ¡que os parece, lectores mios!, con una nota en seguida que dice asi la junta colees ora dedica este documento paesta tarjeta no la recibo con el mismo agrado que la anterior, por, serme innecesaria, como que conoci primero ese nacimiento que mis amigos, cuando yo era joven colegial en poder de mi sra.  d mercedes cordoba en medellin, en cuya casa vivi y por eso y por lo demas me la se de memoria desde 1870 que .  la fama le tenia reservado."
3700,40648,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD603_Ariete_results/PD603_Ariete__El ariete__page_3.json,1849,Ariete,Calí,NEGATIVO,"ijentes i habiles en toda clase de ciencias i de conocimientos, los que en un grado eminente adornan ese su elevado entendimiento.  nosce te ipsum, que yo traduzco ya te conozco.  permitame, sin embargo, senor sapientisimo, me tome el atrevimiento de decirle, queno quiero, ni debo querer contestar minuciosamente a su sapientisima fraterna, por tres poderosas razones la 1.  a porque seria necesario trabajar una difusa disertacion para impugnar les sandeces, quiero decir, las sentencias de teolojiu, de historia, de politica, que u .  derrama con profusion como sabiondo esto es, como hombre sabio  la violeta seria preciso.  espresan suu pesima aplicacion de los pasajes historicos, el ningun conocimiento que u.  tiene de los principios teologicos  ¿ quien sabe como andemos con la primera parte de la doctrina cristiana ! i in, falsa i disparatada aplicacacion de la palabra divina, cuando, mis atenciones continnas no me dejan tiempo para ocuparme de esto, a con u.  i .  en 2, .  porque esto.  serin entablar una polemica eterna con u ."
3707,48948,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_362__page_3 (1).json,1881,Papel Periodico ilustrado,Cali,NEUTRO,"seaba obtener.  este me ofrecio hacer todas las diligencias posibles al efecto pero antes de enviarme cosa alguna, fue sepultado con toda su familia bajo las ruinas del terremoto que tuvo lugar en aquella ciudad en 1875.  vea usted, pues, cuantas circunstancias han ocurrido, tendentes a oscurecer y dejar en olvido la memoria de uno de los mas egregios y esclarecidos proceres de la gran causa de la america.  y tan cierto es esto, que el senor leonidas scarpetta, que se habia dedicado a escribir la biografia de algunos de los proceres de la independencia, se me acerco pidiendome algunos datos relativos al doctor serrano, y una copia que le di de la citada constitucion mas, antes de publicar la continuacion de sus biografias, murio, no hace dos meses, en esta capital.  a la copia indicada le acompane sobre el doctor serrano las breves reminiscencias que siguen  reminiscencias sobre el doctor fernando serrano, segun informes unas, y otras de mi ninez.  entiendo que nacio en piedecuesta, de padres o abuelos espanoles que se habian establecido en cacota de la matanza."
3719,84816,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD810_El diario de Cundinamarca_results/PD810_El diario de Cundinamarca__Julio 1891__page_22.json,1869,El diario de Cundinamarca,Bogotá,NEUTRO,"roberto rodriguez.   danel parra sierra .  li berrio.  j houbo sanchez o .  francisco cuneojo municipal, y despues resepoion olivial ide p.  siorm r .  padro p.  pardo .  antofun e joio caicedo .  benito rincon, mateo mo ralos, , adolfu d.  calderon,  melquiades en el circo, on in cual se dara muerte 6 seis chavarro .  domingo g.  forero r.   silve tomente al pueblo, ifsure tanibien on el potre huelga bei r.  l.  acht rio sierra.   isaac j.  romero.   cayo dolga ro inmediato al circo varus do premio, eccofre gatte alejandro puy , corbelian martinez .  inda ala 1 p.  m.  inauguracion de la exposi.  ho bio .  igancio forero,  francisco santos.  ezequiel montee , adolfo escobar m , damaso tocanoipa .  jono m vonavides . tina sierra .  julio sierra  antonio castro al p .  higinio do la torre .  isidro palacios, toodomiro puerto r.   mileiades solo .  teatro municipal.  fiorentino villar .  emoterio castanoda . francisco f.  morales .  simon oritun.   joon de 3.  lilay galeria del peralso so han retimao! fororo ."
